N,종목명,현재가,전일비,등락률,액면가,시가총액    상장주식수   외국인비율   거래량 PER ROE
19,신한지주,"34,600",550,+1.62%,"5,000","178,718","516,527",57.64,"3,326,833",4.96,9.09,
20,SK,"239,500","1,000",+0.42%,200,"168,513","70,360",21.69,"606,018","1,010.55",4.31,
21,SK이노베이션,"177,500","2,500",-1.39%,"5,000","164,126","92,466",23.62,"1,092,040",-6.75,-0.20,
22,LG전자,"90,500",200,+0.22%,"5,000","148,101","163,648",35.75,"1,756,008",19.66,0.22,
23,삼성생명,"72,800",700,-0.95%,500,"145,600","200,000",12.17,"692,703",14.62,3.26,
24,한국전력,"22,100",250,-1.12%,"5,000","141,874","641,964",16.79,"4,569,951",153.47,-3.42,
25,SK바이오팜,"176,500","1,000",+0.57%,500,"138,223","78,313",4.23,"234,494",-160.45,-313.66,
26,삼성에스디에스,"174,500","1,000",-0.57%,500,"135,024","77,378",12.21,"172,338",25.76,11.76,
27,LG,"74,100",800,+1.09%,"5,000","127,865","172,557",34.64,"582,614",10.47,5.87,
28,삼성전기,"162,500",500,-0.31%,"5,000","121,377","74,694",34.45,"678,088",33.29,10.18,
29,KT&G,"84,600",300,+0.36%,"5,000","116,149","137,292",40.64,"590,754",11.80,12.39,
30,아모레퍼시픽,"194,000","1,500",-0.77%,500,"113,409","58,458",31.71,"298,055",311.90,5.36,
31,넷마블,"132,000","2,000",+1.54%,100,"113,314","85,844",22.48,"582,006",53.46,3.54,
32,하나금융지주,"36,550",700,+1.95%,"5,000","109,738","300,242",64.73,"1,783,199",4.47,8.77,
33,신풍제약,"188,500","9,500",+5.31%,500,"99,877","52,985",11.12,"3,570,375","5,236.11",0.80,
34,롯데케미칼,"281,000","4,500",-1.58%,"5,000","96,314","34,275",26.77,"234,579",83.06,5.51,
35,삼성화재,"192,000",500,+0.26%,500,"90,960","47,375",44.48,"249,019",14.04,4.85,
36,한온시스템,"15,750",800,-4.83%,100,"84,074","533,800",20.75,"2,442,532",59.89,14.98,
37,S-Oil,"70,200","1,000",-1.40%,"2,500","79,033","112,583",74.96,"400,524",-9.41,1.01,
38,고려아연,"398,000","6,000",+1.53%,"5,000","75,103","18,870",23.85,"71,168",13.41,9.76,
